|WQNHOP |ROW_COUNT|DISTINCT_NOTENDUR_COUNT|TEG_STM_COUNT|STARFSM_COUNT|NOT_STARFSM_COUNT|NOTENDUR_LIST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|TJOBIL |5        |5                      |5            |5            |0                |LTMAFG    , LTMAGI    , LTMKOL    , LTMNOL    , LTMOTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|TJOEIG1|17       |17                     |16           |17           |0                |LAXSIG    , LTMAAN    , LTMAVR    , LTMBVI    , LTMDRA    , LTMEGU    , LTMEHS    , LTMERU    , LTMGHR    , LTMGTO    , LTMJIS    , LTMOHO    , LTMOTO    , LTMPHP    , LTMSEB    , LTMSGF    , LTMSIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|TJOSKP |1        |1                      |1            |1            |0                |LTMGHR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|TJOSLY |23       |23                     |20           |23           |0                |LAXAMS    , LAXBJO    , LAXEHM    , LAXOLA    , LTMBKA    , LTMBOL    , LTMBVI    , LTMDRA    , LTMEGU    , LTMFDG    , LTMGHA    , LTMGHR    , LTMGOM    , LTMHES    , LTMHTG    , LTMIBS    , LTMKOL    , LTMKVI    , LTMODT    , LTMSEB    , LTMSGF    , LTMTRO    , LTMVPS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|TJOSTO |11       |11                     |3            |11           |0                |LAXBRY    , LAXGUH    , LAXGUN    , LAXHAL    , LAXJOK    , LAXMLH    , LAXMTG    , LAXODD    , LAXTHO    , LAXUNN    , LAXVGE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|TJS3   |6        |6                      |6            |6            |0                |LTMAFG    , LTMAGI    , LTMGTO    , LTMKOL    , LTMNOL    , LTMOTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|TOYDATA|1        |1                      |0            |0            |1                |xtoyota01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|TOYOTA |48       |48                     |5            |35           |13               |kristin   , vic293829 , xtoy224   , LAXARN    , LAXBEH    , LAXGYL    , LAXHBH    , LAXHEA    , LAXIBH    , LAXJVO    , LAXKRI    , LAXSKU    , LAXTHH    , LAXTII    , LTMKEI    , LTMKGU    , LTMSBJ    , LTMTRT    , 112492    , 112493    , 112494    , 112497    , 112503    , 150332    , 159399    , 161369    , 162503    , 190558    , 38671     , 38696     , 38697     , 38773     , 38774     , 38788     , 38789     , 38790     , 38792     , 38815     , 38846     , 38906     , 38942     , 39061     , 51053     , 564345    , 568458    , 568460    , 568489    , 66373                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|UMSATH |9        |9                      |8            |9            |0                |jakobr    , LAXJMR    , LAXOLA    , LTMHAS    , LTMHAU    , LTMHGR    , LTMIBG    , LTMIBS    , LTMKAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|UPPFOR1|34       |34                     |13           |30           |4                |jakobr    , kristin   , ltvabj    , ltvbha    , ltvrab    , olafurty  , uipath01  , vasthor   , vbergur   , vrikki    , DRIFAH    , LAJDSI    , LATESS    , LAWAVA    , LAWEBJ    , LAXBJO    , LAXBLA    , LAXDHA    , LAXEKB    , LAXGPG    , LAXJMR    , LAXKRI    , LAXOLA    , LAXOTY    , LAXVAS    , LTDIDG    , LTMGHK    , LTMHTG    , LTMKYJ    , LTMOOI    , LTVDAD    , LTVFJO    , LUTRPE    , 41041                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
